Transaction Name,Date,Unit,Income,Expenses,Total
MAINTENENCE JUL,16-Jun,302.1,1480,,"  16,325.00 "
Carlos ,2-Jul,,,2000,"  14,325.00 "
garbage,2-Jul,,,100,"  14,225.00 "
Carlos ,9-Jul,,,2000,"  12,225.00 "
garbage,9-Jul,,,100,"  12,125.00 "
Carlos ,Jul-16,,,2000,"  10,125.00 "
garbage,Jul-16,,,100,"  10,025.00 "
Carlos ,Jul-23,,,2000,"  8,025.00 "
garbage,Jul-23,,,100,"  7,925.00 "
Carlos ,Jul-30,,,2000,"  5,925.00 "
garbage,Jul-30,,,100,"  5,825.00 "
third two-month water,,,,3938,"  1,887.00 "
MAINTENENCE AUG,,gh1,990,,"  2,877.00 "
MAINTENENCE AUG,,101,1740,,"  4,617.00 "
MAINTENENCE AUG,5-Sep,102,1800,,"  6,417.00 "
MAINTENENCE AUG,,201,1500,,"  7,917.00 "
MAINTENENCE AUG,5-Sep,202,1800,,"  9,717.00 "
MAINTENENCE AUG,,301,,,"  9,717.00 "
MAINTENENCE AUG,9-Aug,302,2000,,"  11,717.00 "
MAINTENENCE AUG,9-Aug,302.1,1480,,"  13,197.00 "
cfe,18-Aug,,,288,"  12,909.00 "
fabuloso,18-Aug,,,240,"  12,669.00 "
carlos loan,,,,2000,"  10,669.00 "
Carlos ,6-Aug,,,1500,"  9,169.00 "
garbage,6-Aug,,,100,"  9,069.00 "
Carlos ,13-Aug,,,1500,"  7,569.00 "
garbage,13-Aug,,,100,"  7,469.00 "
Carlos ,20-Aug,,,1500,"  5,969.00 "
garbage,20-Aug,,,100,"  5,869.00 "
Carlos ,Aug-27,,,1500,"  4,369.00 "
garbage,Aug-27,,,100,"  4,269.00 "
MAINTENENCE SEP,,gh1,990,,"  5,259.00 "
MAINTENENCE SEP,5-Sep,101,1740,,"  6,999.00 "
MAINTENENCE SEP,5-Sep,102,1800,,"  8,799.00 "
MAINTENENCE SEP,,201,,,"  8,799.00 "
MAINTENENCE SEP,,202,,,"  8,799.00 "
MAINTENENCE SEP,,301,,,"  8,799.00 "
MAINTENENCE SEP,,302,2000,,"  10,799.00 "
MAINTENENCE SEP,,302.1,1480,,"  12,279.00 "
Carlos ,3-Sep,,,2000,"  10,279.00 "
garbage,3-Sep,,,500,"  9,779.00 "
Carlos ,10-Sep,,,2000,"  7,779.00 "
Carlos ,17-Sep,,,2000,"  5,779.00 "
Carlos ,24-Sep,,,,"  5,779.00 "
fourth two-month water,,,,3862,"  1,917.00 "
MAINTENENCE OCT,,gh1,,,"  1,917.00 "
,,101,,,"  1,917.00 "
,,102,,,"  1,917.00 "
,,201,,,"  1,917.00 "
,,202,,,"  1,917.00 "
,,301,,,"  1,917.00 "
,,302,,,"  1,917.00 "
,,302.1,,,"  1,917.00 "
